hybrid,parentA
SPGP0AA00490,YPL201C
SPGP0AA00470,YPL203W
SPGP0AA00460,YPL204W
SPGP0AA00440,YPL207W
SPGP0AA00420,YPL209C
SPGP0AA00400,YPL211W
SPGP0AA00390,YPL212C
SPGP0AA00370,YPL214C
SPGP0AA00340,YPL217C
SPGP0L03600,YPL218W
SPGP0AA00320,YPL219W
SPGP0AA00300,YPL221W
SPGP0AA00250,YPL226W
SPGP0AA00240,YPL227C
SPGP0AA00230,YPL228W
SPGP0AA00200,YPL231W
SPGP0AA00180,YPL233W
SPGP0AA00170,YPL234C
SPGP0AA00160,YPL235W
SPGP0AA00140,YPL237W
SPGP0AA00130,YPL239W
SPGP0AA00100,YPL242C
SPGP0DZ00100,YGR087C
SPGP0EA00100,YPL243W
SPGP0EI00100,YCR065W
SPGP0N03280,YJL212C
SPGP0N03260,YJL209W
SPGP0N03240,YJL207C
SPGP0N03210,YJL204C
SPGP0N03190,YJL201W
SPGP0N03180,YJL200C
SPGP0N03160,YJL198W
SPGP0N03120,YJL193W
SPGP0N03110,YJL192C
SPGP0M00270,YJL191W
SPGP0N03090,YJL190C
SPGP0M00290,YJL189W
SPGP0N03060,YJL186W
SPGP0N03010,YJL180C
SPGP0N03000,YJL179W
SPGP0N02980,YJL177W
SPGP0N02970,YJL176C
SPGP0N02940,YJL172W
SPGP0N02930,YJL171C
SPGP0N02910,YJL168C
SPGP0N02900,YJL167W
SPGP0N02890,YJL166W
SPGP0N02880,YJL165C
SPGP0N02870,YJL164C
SPGP0N02850,YJL162C
SPGP0N02820,YJL159W
SPGP0N02810,YJL158C
SPGP0N02780,YJL155C
SPGP0N02770,YJL154C
SPGP0N02740,YJL149W
SPGP0N02730,YJL148W
SPGP0N02710,YJL146W
SPGP0N02700,YJL145W
SPGP0N02680,YJL143W
SPGP0N02670,YJL141C
SPGP0N02660,YJL140W
SPGP0AD00540,YKR059W
SPGP0AD00560,YKR057W
SPGP0N02600,YJL133C-A
SPGP0N02590,YJL133W
SPGP0N02580,YJL132W
SPGP0N02570,YJL131C
SPGP0N02560,YJL130C
SPGP0N02550,YJL129C
SPGP0N02540,YJL128C
SPGP0N02530,YJL127C-B
SPGP0N02500,YJL125C
SPGP0N02410,YJL112W
SPGP0N02400,YJL111W
SPGP0N02380,YJL109C
SPGP0N02360,YJL106W
SPGP0N02340,YJL104W
SPGP0N02310,YJL101C
SPGP0N02280,YJL098W
SPGP0N02250,YJL095W
SPGP0N02220,YJL092W
SPGP0N02210,YJL091C
SPGP0N02200,YJL090C
SPGP0N02190,YJL089W
SPGP0N02170,YJL087C
SPGP0N02160,YJL085W
SPGP0M01230,YJL084C
SPGP0N02140,YJL083W
SPGP0N02130,YJL082W
SPGP0N02110,YJL080C
SPGP0N02100,YJL079C
SPGP0N02060,YJL072C
SPGP0N02050,YJL071W
SPGP0N02040,YJL070C
SPGP0N02020,YJL068C
SPGP0N02000,YJL065C
SPGP0N01980,YJL062W-A
SPGP0N01970,YJL062W
SPGP0N01950,YJL060W
SPGP0N01940,YJL059W
SPGP0N01930,YJL058C
SPGP0N01900,YJL054W
SPGP0N01880,YJL052W
SPGP0N01870,YJL051W
SPGP0N01860,YJL050W
SPGP0N01790,YJL042W
SPGP0N01770,YJL039C
SPGP0N01740,YJL036W
SPGP0N01720,YJL034W
SPGP0N01710,YJL033W
SPGP0N01690,YJL030W
SPGP0Gtrna17M,YJL007C
SPGP0N01670,YJL026W
SPGP0N01650,YJL024C
SPGP0N01620,YJL019W
SPGP0N01600,YJL014W
SPGP0N01580,YJL012C
SPGP0N01560,YJL010C
SPGP0N01550,YJL008C
SPGP0N01530,YJL005W
SPGP0N01490,YJL001W
SPGP0N01450,YJR004C
SPGP0N01440,YJR005W
SPGP0N01410,YJR007W
SPGP0N01400,YJR008W
SPGP0N01390,YJR009C
SPGP0N01380,YJR010W
SPGP0N01360,YJR011C
SPGP0N01330,YJR014W
SPGP0N01310,YJR016C
SPGP0N01280,YJR021C
SPGP0N01270,YJR024C
SPGP0N01230,YJR032W
SPGP0N01220,YJR033C
SPGP0N01190,YJR036C
SPGP0N01180,YJR039W
SPGP0N01170,YJR040W
SPGP0N01150,YJR042W
SPGP0N01120,YJR045C
SPGP0N01110,YJR046W
SPGP0N01100,YJR047C
SPGP0N01070,YJR050W
SPGP0N01050,YJR052W
SPGP0N01030,YJR054W
SPGP0N00980,YJR059W
SPGP0N00960,YJR061W
SPGP0N00950,YJR062C
SPGP0N00930,YJR064W
SPGP0N00920,YJR065C
SPGP0N00910,YJR066W
SPGP0N00890,YJR068W
SPGP0N00880,YJR069C
SPGP0N00870,YJR070C
SPGP0N00860,YJR072C
SPGP0N00830,YJR075W
SPGP0N00820,YJR076C
SPGP0N00810,YJR077C
SPGP0N00790,YJR080C
SPGP0N00730,YJR088C
SPGP0N00710,YJR090C
SPGP0N00700,YJR091C
SPGP0N00680,YJR093C
SPGP0N00660,YJR094W-A
SPGP0N00650,YJR095W
SPGP0N00620,YJR098C
SPGP0N00560,YJR104C
SPGP0N00550,YJR105W
SPGP0N00530,YJR107W
SPGP0N00500,YJR109C
SPGP0N00490,YJR110W
SPGP0N00480,YJR111C
SPGP0N00420,YJR117W
SPGP0N00410,YJR118C
SPGP0N00400,YJR119C
SPGP0N00390,YJR121W
SPGP0N00370,YJR123W
SPGP0N00360,YJR124C
SPGP0N00330,YJR127C
SPGP0N00310,YJR130C
SPGP0N00290,YJR132W
SPGP0N00280,YJR133W
SPGP0N00240,YJR136C
SPGP0N00230,YJR137C
SPGP0N00220,YJR138W
SPGP0N00210,YJR139C
SPGP0N00170,YJR143C
SPGP0U00420,YLL025W
SPGP0M03340,YAL067C
SPGP0M03370,YJR152W
SPGP0AP00550,YHR210C
SPGP0V00130,YEL070W
SPGP0EO00100,YGR286C
SPGP0X00440,YHL007C
SPGP0AJ00110,YHR211W
SPGP0N00110,YJR150C
SPGP0N00120,YJR149W
SPGP0N00130,YJR148W
SPGP0N00140,YJR147W
SPGP0N00150,YJR145C
SPGP0N00160,YJR144W
SPGP0N00180,YJR142W
SPGP0N00190,YJR141W
SPGP0N00200,YJR140C
SPGP0N00250,YJR135W-A
SPGP0N00260,YJR135C
SPGP0N00270,YJR134C
SPGP0N00300,YJR131W
SPGP0N00320,YJR129C
SPGP0N00340,YJR126C
SPGP0N00350,YJR125C
SPGP0N00380,YJR122W
SPGP0N00430,YJR116W
SPGP0N00440,YJR115W
SPGP0N00450,YJR113C
SPGP0N00460,YJR112W-A
SPGP0N00470,YJR112W
SPGP0N00540,YJR106W
SPGP0N00570,YJR103W
SPGP0N00580,YJR102C
SPGP0N00590,YJR101W
SPGP0N00600,YJR100C
SPGP0N00610,YJR099W
SPGP0N00630,YJR097W
SPGP0N00640,YJR096W
SPGP0N00670,YJR094C
SPGP0N00690,YJR092W
SPGP0N00720,YJR089W
SPGP0N00740,YJR086W
SPGP0N00750,YJR085C
SPGP0N00760,YJR084W
SPGP0N00770,YJR083C
SPGP0N00780,YJR082C
SPGP0N00800,YJR078W
SPGP0N00840,YJR074W
SPGP0N00850,YJR073C
SPGP0N00900,YJR067C
SPGP0N00940,YJR063W
SPGP0N00970,YJR060W
SPGP0N00990,YJR058C
SPGP0N01000,YJR057W
SPGP0N01010,YJR056C
SPGP0N01020,YJR055W
SPGP0N01040,YJR053W
SPGP0N01060,YJR051W
SPGP0N01080,YJR049C
SPGP0N01090,YJR048W
SPGP0N01130,YJR044C
SPGP0N01140,YJR043C
SPGP0N01160,YJR041C
SPGP0N01200,YJR035W
SPGP0N01210,YJR034W
SPGP0N01240,YJR031C
SPGP0N01250,YJR030C
SPGP0N01260,YJR025C
SPGP0N01290,YJR019C
SPGP0N01300,YJR017C
SPGP0N01320,YJR015W
SPGP0N01340,YJR013W
SPGP0N01350,YJR012C
SPGP0N01370,YJR010C-A
SPGP0N01420,YJR006W
SPGP0N01430,YJR005C-A
SPGP0N01460,YJR003C
SPGP0N01470,YJR002W
SPGP0N01480,YJR001W
SPGP0N01500,YJL002C
SPGP0N01510,YJL003W
SPGP0N01520,YJL004C
SPGP0N01540,YJL006C
SPGP0N01570,YJL011C
SPGP0N01590,YJL013C
SPGP0N01610,YJL016W
SPGP0N01630,YJL020C
SPGP0N01640,YJL023C
SPGP0N01660,YJL025W
SPGP0N01680,YJL029C
SPGP0N01700,YJL031C
SPGP0N01730,YJL035C
SPGP0N01750,YJL037W
SPGP0N01760,YJL038C
SPGP0N01780,YJL041W
SPGP0N01800,YJL043W
SPGP0N01810,YJL044C
SPGP0N01820,YJL046W
SPGP0N01830,YJL047C
SPGP0N01840,YJL048C
SPGP0N01850,YJL049W
SPGP0N01890,YJL053W
SPGP0N01910,YJL055W
SPGP0N01920,YJL056C
SPGP0N01960,YJL061W
SPGP0N01990,YJL063C
SPGP0N02010,YJL066C
SPGP0N02030,YJL069C
SPGP0N02070,YJL073W
SPGP0N02080,YJL074C
SPGP0N02090,YJL076W
SPGP0N02120,YJL081C
SPGP0N02180,YJL088W
SPGP0N02230,YJL093C
SPGP0N02240,YJL094C
SPGP0N02260,YJL096W
SPGP0N02270,YJL097W
SPGP0N02290,YJL099W
SPGP0N02300,YJL100W
SPGP0N02320,YJL102W
SPGP0N02330,YJL103C
SPGP0N02350,YJL105W
SPGP0N02370,YJL107C
SPGP0N02390,YJL110C
SPGP0N02420,YJL115W
SPGP0N02430,YJL116C
SPGP0N02440,YJL117W
SPGP0N02450,YJL118W
SPGP0N02460,YJL121C
SPGP0N02470,YJL122W
SPGP0N02480,YJL123C
SPGP0N02490,YJL124C
SPGP0N02510,YJL126W
SPGP0N02520,YJL127C
SPGP0N02610,YJL134W
SPGP0N02620,YJL136C
SPGP0N02630,YJL137C
SPGP0N02640,YJL138C
SPGP0N02650,YJL139C
SPGP0N02690,YJL144W
SPGP0N02720,YJL147C
SPGP0N02750,YJL151C
SPGP0N02760,YJL153C
SPGP0N02790,YJL156C
SPGP0N02800,YJL157C
SPGP0N02830,YJL160C
SPGP0N02840,YJL161W
SPGP0N02860,YJL163C
SPGP0N02920,YJL170C
SPGP0N02950,YJL173C
SPGP0N02960,YJL174W
SPGP0N02990,YJL178C
SPGP0N03020,YJL181W
SPGP0N03030,YJL183W
SPGP0N03040,YJL184W
SPGP0N03050,YJL185C
SPGP0N03070,YJL187C
SPGP0N03130,YJL194W
SPGP0N03140,YJL196C
SPGP0N03150,YJL197W
SPGP0N03170,YJL199C
SPGP0N03200,YJL203W
SPGP0N03220,YJL205C
SPGP0N03230,YJL206C
SPGP0N03250,YJL208C
SPGP0N03270,YJL210W
SPGP0N03300,YJL213W
SPGP0N03310,YJL214W
SPGP0N03320,YJL216C
SPGP0N03330,YJL217W
SPGP0N03340,YJL218W
SPGP0N03350,YOL156W
SPGP0N03360,YJL221C
SPGP0N03380,YOL159C
SPGP0N03390,YOL159C-A
SPGP0N03400,YHL046C
SPGP0Dtrna32S,YDR340W
SPGP0BN00130,YCR089W
SPGP0EW00110,YCR090C
SPGP0FA00100,YIL007C
SPGP0FA00110,YIL008W
SPGP0FC00100,YBR298C
SPGP0E00110,YGR289C
SPGP0D04500,YOL149W
SPGP0D04490,YOL148C
SPGP0D04480,YOL147C
SPGP0D04460,YOL145C
SPGP0D04440,YOL143C
SPGP0D04430,YOL142W
SPGP0D04410,YOL140W
SPGP0D04400,YOL139C
SPGP0D04370,YOL136C
SPGP0D04340,YOL132W
SPGP0D04320,YOL130W
SPGP0D04310,YOL129W
SPGP0D04300,YOL128C
SPGP0D04290,YOL127W
SPGP0D04280,YOL126C
SPGP0D04260,YOL124C
SPGP0D04250,YOL123W
SPGP0D04240,YOL122C
SPGP0D04210,YOL119C
SPGP0D04180,YOL115W
SPGP0D04130,YOL110W
SPGP0D04060,YOL102C
SPGP0D04050,YOL101C
SPGP0D04040,YOL100W
SPGP0D04030,YOL098C
SPGP0D04020,YOL097C
SPGP0D04010,YOL096C
SPGP0D04000,YOL095C
SPGP0D03990,YOL094C
SPGP0D03970,YOL091W
SPGP0D03960,YOL090W
SPGP0D03910,YOL086C
SPGP0D03870,YOL081W
SPGP0D03850,YOL078W
SPGP0D03820,YOL076W
SPGP0D03810,YOL075C
SPGP0D03790,YOL072W
SPGP0D03760,YOL069W
SPGP0D03750,YOL068C
SPGP0D03720,YOL065C
SPGP0D03710,YOL064C
SPGP0D03690,YOL062C
SPGP0D03680,YOL061W
SPGP0D03670,YOL060C
SPGP0D03660,YOL059W
SPGP0D03650,YOL058W
SPGP0D03620,YOL055C
SPGP0D03590,YOL052C
SPGP0D03580,YOL051W
SPGP0D03530,YOL045W
SPGP0D03490,YOL040C
SPGP0D03480,YOL039W
SPGP0D03450,YOL034W
SPGP0D03430,YOL032W
SPGP0D03410,YOL030W
SPGP0D03390,YOL027C
SPGP0D03360,YOL023W
SPGP0D03340,YOL021C
SPGP0D03290,YOL016C
SPGP0D03260,YOL013C
SPGP0D03250,YOL012C
SPGP0D03240,YOL011W
SPGP0D03220,YOL009C
SPGP0D03190,YOL006C
SPGP0D03170,YOL004W
SPGP0D03150,YOL002C
SPGP0D03130,YOR001W
SPGP0D03120,YOR002W
SPGP0D03110,YOR003W
SPGP0D03090,YOR005C
SPGP0D03070,YOR007C
SPGP0D03050,YOR009W
SPGP0D03040,YOR010C
SPGP0O01680,YOR011W
SPGP0D03010,YOR014W
SPGP0D03000,YOR016C
SPGP0D02990,YOR017W
SPGP0X00660,YHR015W
SPGP0O01760,YHR016C
SPGP0X00670,YHR017W
SPGP0X00680,YHR018C
SPGP0X00690,YHR019C
SPGP0X00700,YHR020W
SPGP0X00710,YHR021C
SPGP0X00730,YHR023W
SPGP0X00750,YHR025W
SPGP0X00760,YHR026W
SPGP0X00770,YHR027C
SPGP0X00780,YHR028C
SPGP0X00800,YHR030C
SPGP0X00820,YHR032W
SPGP0X00830,YHR033W
SPGP0X00860,YHR036W
SPGP0X00870,YHR037W
SPGP0X00890,YHR039C
SPGP0X00900,YHR039C-A
SPGP0X00910,YHR040W
SPGP0X00930,YHR042W
SPGP0X00970,YHR047C
SPGP0X01010,YHR051W
SPGP0X01020,YHR052W
SPGP0X01040,YHR056C
SPGP0X01070,YHR059W
SPGP0X01110,YHR063C
SPGP0X01120,YHR064C
SPGP0X01130,YHR065C
SPGP0X01160,YHR068W
SPGP0X01170,YHR069C
SPGP0X01230,YHR074W
SPGP0X01240,YHR075C
SPGP0X01260,YHR077C
SPGP0X01280,YHR079C
SPGP0X01320,YHR082C
SPGP0X01340,YHR084W
SPGP0X01350,YHR085W
SPGP0X01360,YHR086W
SPGP0X01370,YHR087W
SPGP0X01390,YHR089C
SPGP0X01400,YHR090C
SPGP0X01420,YHR092C
SPGP0X01440,YHR094C
SPGP0B04440,YDR345C
SPGP0X01480,YHR098C
SPGP0X01490,YHR099W
SPGP0X01520,YHR102W
SPGP0X01570,YHR107C
SPGP0X01640,YHR114W
SPGP0X01690,YHR119W
SPGP0X01740,YHR124W
SPGP0X01770,YHR128W
SPGP0X01780,YHR129C
SPGP0X01800,YHR132C
SPGP0X01810,YHR132W-A
SPGP0X01910,YHR142W
SPGP0X01960,YHR147C
SPGP0X01970,YHR148W
SPGP0X01980,YHR149C
SPGP0AW00110,YHR151C
SPGP0AW00140,YHR154W
SPGP0AW00150,YHR155W
SPGP0AW00250,YHR164C
SPGP0AW00260,YHR165C
SPGP0FJ00100,YPR011C
SPGP0FM00100,YKL221W
SPGP0AD00130,YKR100C
SPGP0AD00140,YKR099W
SPGP0AD00160,YKR097W
SPGP0AD00190,YKR095W
SPGP0AD00200,YKR094C
SPGP0AD00210,YKR093W
SPGP0AD00280,YKR086W
SPGP0AD00320,YKR082W
SPGP0AD00330,YKR081C
SPGP0AD00340,YKR080W
SPGP0AD00430,YKR070W
SPGP0AD00440,YKR069W
SPGP0AD00460,YKR067W
SPGP0AD00490,YKR064W
SPGP0AD00510,YKR062W
SPGP0AD00520,YKR061W
SPGP0AD00530,YKR060W
SPGP0AD00590,YKR054C
SPGP0AD00610,YKR052C
SPGP0AD00630,YKR050W
SPGP0AD00660,YKR046C
SPGP0AD00690,YKR043C
SPGP0AD00710,YKR041W
SPGP0AD00720,YKR039W
SPGP0AD00740,YKR037C
SPGP0AD00760,YKR035W-A
SPGP0AD00770,YKR034W
SPGP0AD00780,YKR031C
SPGP0AD00800,YKR029C
SPGP0AD00810,YKR028W
SPGP0AD00830,YKR026C
SPGP0AD00850,YKR024C
SPGP0AD00860,YKR023W
SPGP0AD00900,YKR019C
SPGP0AD00910,YKR018C
SPGP0AD00930,YKR016W
SPGP0AD00950,YKR015C
SPGP0AD00960,YKR014C
SPGP0AD00990,YKR010C
SPGP0AD01010,YKR008W
SPGP0AD01050,YKR004C
SPGP0AD01070,YKR002W
SPGP0AD01080,YKR001C
SPGP0AD01090,YKL001C
SPGP0AD01100,YKL002W
SPGP0AD01120,YKL004W
SPGP0AD01150,YKL006C-A
SPGP0AD01180,YKL009W
SPGP0AD01190,YKL010C
SPGP0AD01210,YKL012W
SPGP0AD01230,YKL014C
SPGP0AD01240,YKL015W
SPGP0AD01250,YKL016C
SPGP0AD01270,YKL018W
SPGP0AD01280,YKL018C-A
SPGP0AD01310,YKL021C
SPGP0CH00130,YKL022C
SPGP0CH00100,YKL024C
SPGP0Z00100,YKL025C
SPGP0Z00120,YKL027W
SPGP0Z00130,YKL028W
SPGP0Z00150,YKL032C
SPGP0Z00160,YKL033W
SPGP0Z00180,YKL034W
SPGP0Z00190,YKL035W
SPGP0Z00210,YKL039W
SPGP0Z00220,YKL040C
SPGP0Z00240,YKL042W
SPGP0Z00270,YKL046C
SPGP0Z00280,YKL047W
SPGP0Z00350,YKL054C
SPGP0Z00370,YKL056C
SPGP0Z00380,YKL057C
SPGP0Z00390,YKL058W
SPGP0Z00410,YKL060C
SPGP0Z00430,YKL062W
SPGP0Z00570,YKL075C
SPGP0Z00590,YKL078W
SPGP0Z00610,YKL080W
SPGP0Z00630,YKL082C
SPGP0Z00660,YKL086W
SPGP0Z00680,YKL088W
SPGP0Z00690,YKL089W
SPGP0Z00720,YKL092C
SPGP0Z00740,YKL094W
SPGP0Z00750,YKL095W
SPGP0V00910,YER011W
SPGP0Z00780,YKL099C
SPGP0Z00800,YKL101W
SPGP0Z00810,YKL103C
SPGP0Z00820,YKL104C
SPGP0Z00840,YKL106W
SPGP0Z00890,YKL112W
SPGP0Z00900,YKL113C
SPGP0Z00910,YKL114C
SPGP0Z00920,YKL116C
SPGP0Z00930,YKL117W
SPGP0Z00950,YKL120W
SPGP0Z00960,YKL121W
SPGP0Z00980,YKL124W
SPGP0Z00990,YKL125W
SPGP0Z01010,YKL127W
SPGP0Z01030,YKL129C
SPGP0Z01080,YKL135C
SPGP0Z01100,YKL138C
SPGP0Z01150,YKL142W
SPGP0Z01160,YKL143W
SPGP0Z01180,YKL145W
SPGP0Z01190,YKL146W
SPGP0Z01200,YKL148C
SPGP0Z01240,YKL152C
SPGP0Z01270,YKL156W
SPGP0Z01280,YKL157W
SPGP0Z01360,YKL165C
SPGP0Z01370,YKL166C
SPGP0Z01410,YKL171W
SPGP0Z01470,YKL178C
SPGP0Z01480,YKL179C
SPGP0Z01490,YKL180W
SPGP0Z01500,YKL181W
SPGP0Z01510,YKL182W
SPGP0Z01520,YKL183W
SPGP0Z01540,YKL185W
SPGP0Z01560,YKL187C
SPGP0Z01570,YKL188C
SPGP0Z01580,YKL189W
SPGP0Z01630,YKL194C
SPGP0Z01650,YKL196C
SPGP0Z01660,YKL197C
SPGP0Z01680,YKL201C
SPGP0Z01690,YKL203C
SPGP0Z01700,YKL204W
SPGP0Z01710,YKL205W
SPGP0AV00200,YKL209C
SPGP0AV00190,YKL210W
SPGP0AV00180,YKL211C
SPGP0AV00170,YKL212W
SPGP0AV00140,YKL215C
SPGP0AV00130,YKL216W
SPGP0P03130,YER188W
SPGP0AK00140,YGL256W
SPGP0AM00530,YER183C
SPGP0AM00480,YER178W
SPGP0AM00470,YER177W
SPGP0AM00430,YER173W
SPGP0AM00420,YER172C
SPGP0AM00410,YER171W
SPGP0AM00390,YER169W
SPGP0AM00370,YER167W
SPGP0AM00360,YER166W
SPGP0AM00350,YER165W
SPGP0AM00340,YER164W
SPGP0AM00290,YER158C
SPGP0AM00280,YER157W
SPGP0AM00260,YER155C
SPGP0AM00250,YER154W
SPGP0AM00230,YER152C
SPGP0AM00220,YER151C
SPGP0AM00190,YER148W
SPGP0AM00180,YER147C
SPGP0AM00160,YER145C
SPGP0AM00130,YER142C
SPGP0AM00120,YER141W
SPGP0AM00100,YER139C
SPGP0V02180,YER136W
SPGP0V02160,YER132C
SPGP0V02150,YER131W
SPGP0V02130,YER129W
SPGP0V02110,YER127W
SPGP0V02100,YER126C
SPGP0V02090,YER125W
SPGP0V02070,YER123W
SPGP0V02060,YER122C
SPGP0V02050,YER120W
SPGP0V02030,YER118C
SPGP0V02020,YER117W
SPGP0V01990,YER114C
SPGP0V01960,YER111C
SPGP0V01950,YER110C
SPGP0V01940,YER109C
SPGP0V01930,YER107C
SPGP0V01910,YER105C
SPGP0V01890,YER103W
SPGP0V01880,YER102W
SPGP0V01840,YER098W
SPGP0V01820,YER095W
SPGP0V01810,YER094C
SPGP0V01790,YER093C
SPGP0V01770,YER091C
SPGP0V01760,YER090W
SPGP0V01720,YER087W
SPGP0V01710,YER086W
SPGP0V01690,YER083C
SPGP0V01680,YER082C
SPGP0V01670,YER081W
SPGP0V01660,YER080W
SPGP0V01650,YER079W
SPGP0V01640,YER078C
SPGP0V01630,YER077C
SPGP0V01610,YER075C
SPGP0Q01190,YER074W-A
SPGP0V01590,YER074W
SPGP0V01580,YER073W
SPGP0V01570,YER072W
SPGP0V01560,YER071C
SPGP0V01550,YER070W
SPGP0V01540,YER069W
SPGP0V01500,YER065C
SPGP0V01490,YER064C
SPGP0V01460,YER061C
SPGP0V01440,YER059W
SPGP0V01410,YER056C-A
SPGP0V01400,YER056C
SPGP0V01370,YER053C-A
SPGP0V01360,YER053C
SPGP0V01350,YER052C
SPGP0V01320,YER049W
SPGP0V01300,YER048C
SPGP0V01250,YER044C
SPGP0V01240,YER043C
SPGP0V01230,YER042W
SPGP0V01210,YER040W
SPGP0V01200,YER039C
SPGP0V01170,YER036C
SPGP0V01120,YER031C
SPGP0V01080,YER027C
SPGP0V01060,YER025W
SPGP0V01050,YER024W
SPGP0V01020,YER021W
SPGP0V01010,YER020W
SPGP0V01000,YER019W
SPGP0Q01810,YER018C
SPGP0V00980,YER017C
SPGP0AS00110,YPL282C
SPGP0V00940,YER014W
SPGP0V00930,YER013W
SPGP0V00880,YER008C
SPGP0Q01940,YER007C-A
SPGP0V00850,YER006W
SPGP0V00840,YER005W
SPGP0V00820,YER003C
SPGP0V00800,YER001W
SPGP0V00780,YEL002C
SPGP0V00740,YEL006W
SPGP0V00730,YEL007W
SPGP0V00720,YEL009C
SPGP0V00600,YEL021W
SPGP0V00610,YEL020W-A
SPGP0V00670,YEL016C
SPGP0V00680,YEL015W
SPGP0V00690,YEL013W
SPGP0V00700,YEL012W
SPGP0V00710,YEL011W
SPGP0V00590,YEL022W
SPGP0V00580,YEL023C
SPGP0V00570,YEL024W
SPGP0V00550,YEL026W
SPGP0V00540,YEL027W
SPGP0V00510,YEL030W
SPGP0V00500,YEL031W
SPGP0V00490,YEL032W
SPGP0V00470,YEL034W
SPGP0V00450,YEL036C
SPGP0V00440,YEL037C
SPGP0V00420,YEL039C
SPGP0V00380,YEL043W
SPGP0V00300,YEL052W
SPGP0V00290,YEL053C
SPGP0V00280,YEL054C
SPGP0V00260,YEL056W
SPGP0V00240,YEL058W
SPGP0V00220,YEL060C
SPGP0V00210,YEL061C
SPGP0V00180,YEL064C
SPGP0U00120,YLL061W
SPGP0U00110,YLL062C
SPGP0FZ00100,YGR081C
SPGP0R00330,YGR080W
SPGP0GB00100,YMR006C
SPGP0R00100,YGR106C
SPGP0R00110,YGR105W
SPGP0R00120,YGR104C
SPGP0R00130,YGR103W
SPGP0R00140,YGR102C
SPGP0R00150,YGR101W
SPGP0R00160,YGR100W
SPGP0R00170,YGR099W
SPGP0R00180,YGR098C
SPGP0R00190,YGR097W
SPGP0R00200,YGR096W
SPGP0R00210,YGR095C
SPGP0R00220,YGR094W
SPGP0R00230,YGR093W
SPGP0R00240,YGR092W
SPGP0R00250,YGR091W
SPGP0R00260,YGR090W
SPGP0ACtrna26T,YPR108W-A
SPGP0R00270,YGR089W
SPGP0R00280,YGR088W
SPGP0R00290,YGR084C
SPGP0R00300,YGR083C
SPGP0R00310,YGR082W
SPGP0R00340,YGR079W
SPGP0R00350,YGR078C
SPGP0R00360,YGR077C
SPGP0R00370,YGR076C
SPGP0R00380,YGR075C
SPGP0R00390,YGR074W
SPGP0R00400,YGR072W
SPGP0R00410,YGR071C
SPGP0R00420,YGR070W
SPGP0R00430,YGR068C
SPGP0R00440,YGR067C
SPGP0R00450,YGR066C
SPGP0R00460,YGR065C
SPGP0R00470,YGR063C
SPGP0R00480,YGR062C
SPGP0E02210,YGR061C
SPGP0R00500,YGR060W
SPGP0R00510,YGR059W
SPGP0R00520,YGR058W
SPGP0R00530,YGR057C
SPGP0R00540,YGR056W
SPGP0R00550,YGR055W
SPGP0R00560,YGR054W
SPGP0R00570,YGR053C
SPGP0R00580,YGR052W
SPGP0R00590,YGR049W
SPGP0R00600,YGR048W
SPGP0R00610,YGR047C
SPGP0R00620,YGR046W
SPGP0R00630,YGR044C
SPGP0R00640,YGR043C
SPGP0R00650,YGR042W
SPGP0R00660,YGR041W
SPGP0R00670,YGR040W
SPGP0R00680,YGR038W
SPGP0R00690,YGR037C
SPGP0R00700,YGR036C
SPGP0R00710,YGR035C
SPGP0R00720,YGR034W
SPGP0R00730,YGR033C
SPGP0R00740,YGR032W
SPGP0R00750,YGR031W
SPGP0R00760,YGR030C
SPGP0R00770,YGR029W
SPGP0R00780,YGR028W
SPGP0R00790,YGR027C
SPGP0R00800,YGR026W
SPGP0R00810,YGR024C
SPGP0R00820,YGR023W
SPGP0R00830,YGR021W
SPGP0R00840,YGR020C
SPGP0R00850,YGR019W
SPGP0R00860,YGR017W
SPGP0R00870,YGR016W
SPGP0R00880,YGR015C
SPGP0R00890,YGR014W
SPGP0R00900,YGR013W
SPGP0R00910,YGR012W
SPGP0R00920,YGR010W
SPGP0R00930,YGR009C
SPGP0R00940,YGR007W
SPGP0R00950,YGR006W
SPGP0R00960,YGR005C
SPGP0R00970,YGR004W
SPGP0R00980,YGR003W
SPGP0R00990,YGR002C
SPGP0R01000,YGR001C
SPGP0R01010,YGL001C
SPGP0R01020,YGL002W
SPGP0R01030,YGL003C
SPGP0R01040,YGL004C
SPGP0R01050,YGL005C
SPGP0R01060,YGL006W
SPGP0R01080,YGL009C
SPGP0R01090,YGL010W
SPGP0R01100,YGL011C
SPGP0R01110,YGL012W
SPGP0R01120,YGL013C
SPGP0R01130,YGL014W
SPGP0R01140,YGL015C
SPGP0R01150,YGL016W
SPGP0R01160,YGL017W
SPGP0R01170,YGL018C
SPGP0R01180,YGL019W
SPGP0R01190,YGL020C
SPGP0R01200,YGL021W
SPGP0R01210,YGL022W
SPGP0R01220,YGL023C
SPGP0R01230,YGL025C
SPGP0R01240,YGL026C
SPGP0R01250,YGL027C
SPGP0R01260,YGL028C
SPGP0R01270,YGL029W
SPGP0R01280,YGL030W
SPGP0R01290,YGL031C
SPGP0R01300,YGL032C
SPGP0R01310,YGL033W
SPGP0R01320,YGL035C
SPGP0R01330,YGL036W
SPGP0R01340,YGL037C
SPGP0R01350,YGL038C
SPGP0R01360,YGL039W
SPGP0R01370,YGL040C
SPGP0R01380,YGL041W-A
SPGP0R01390,YGL043W
SPGP0R01400,YGL044C
