Homologs_list	parentB-like content	hybrid content	parentA-like content
SPGP0DKtrna34L; DI49_1927; SPGP0Gtrna35L; SPGP0AJtrna25L; SPGP0AHtrna23L; SPGP0ADtrna36L; SPGP0Rtrna18L; SPGP0Rtrna17L; SPGP0Ytrna21L; DI49_4635; SPGP0DUtrna4L; SPGP0Ktrna6L; DI49_1818; SPGP0Etrna43L; DI49_5686; SPGP0Btrna3L; SPGP0Ttrna30L; SPGP0Ftrna28L; SPGP0Ctrna10L; SPGP0AGtrna45L; SPGP0Ptrna14L; DI49_2147	DI49_1927; DI49_4635; DI49_1818; DI49_5686; DI49_2147	SPGP0DKtrna34L; SPGP0Gtrna35L; SPGP0AJtrna25L; SPGP0AHtrna23L; SPGP0ADtrna36L; SPGP0Rtrna18L; SPGP0Rtrna17L; SPGP0Ytrna21L; SPGP0DUtrna4L; SPGP0Ktrna6L; SPGP0Etrna43L; SPGP0Btrna3L; SPGP0Ttrna30L; SPGP0Ftrna28L; SPGP0Ctrna10L; SPGP0AGtrna45L; SPGP0Ptrna14L	
XP_018220411.1; SPGP0DP00100; XP_018220469.1; XP_018219924.1; XP_018222679.1; SPGP0AI00800; SPGP0AF00880; SPGP0HX00100; XP_018220839.1; XP_018222618.1; YLR037C; SPGP0AJ00200	XP_018220411.1; XP_018220469.1; XP_018219924.1; XP_018222679.1; XP_018220839.1; XP_018222618.1	SPGP0DP00100; SPGP0AI00800; SPGP0AF00880; SPGP0HX00100; SPGP0AJ00200	YLR037C
SPGP0K00120; SPGP0V00150; YEL069C; YDL245C; SPGP0A07150		SPGP0K00120; SPGP0V00150; SPGP0A07150	YEL069C; YDL245C
YNR066C; YCR100C			YNR066C; YCR100C
SPGP0K00270; XP_018219927.1	XP_018219927.1	SPGP0K00270	
YNR055C; XP_018219925.1	XP_018219925.1		YNR055C
YNR054C; XP_018219922.1	XP_018219922.1		YNR054C
YNR053C; SPGP0AL00600		SPGP0AL00600	YNR053C
YNR052C; XP_018219921.1	XP_018219921.1		YNR052C
YNR050C; XP_018219919.1	XP_018219919.1		YNR050C
YNR047W; XP_018219916.1; YCR091W	XP_018219916.1		YNR047W; YCR091W
YNR041C; XP_018219911.1	XP_018219911.1		YNR041C
YNR035C; XP_018219905.1	XP_018219905.1		YNR035C
YNR034W; XP_018219903.1	XP_018219903.1		YNR034W
YNR031C; XP_018219899.1	XP_018219899.1		YNR031C
YNR030W; XP_018219898.1	XP_018219898.1		YNR030W
YNR026C; XP_018219895.1	XP_018219895.1		YNR026C
YNR020C; XP_018219891.1	XP_018219891.1		YNR020C
YNR019W; XP_018219890.1	XP_018219890.1		YNR019W
YNR017W; XP_018219888.1	XP_018219888.1		YNR017W
YNR016C; XP_018219887.1	XP_018219887.1		YNR016C
YNR013C; XP_018219884.1	XP_018219884.1		YNR013C
YNR012W; XP_018219883.1	XP_018219883.1		YNR012W
YNR011C; XP_018219882.1	XP_018219882.1		YNR011C
YNR004W; XP_018219876.1	XP_018219876.1		YNR004W
SPGP0Ktrna1N; DI49_5581; SPGP0Htrna19N; SPGP0Etrna21N; SPGP0Dtrna14N; SPGP0Dtrna13N; SPGP0Ctrna4N; SPGP0ALtrna18N; SPGP0AHtrna11N; SPGP0AGtrna22N; SPGP0AFtrna12N; SPGP0AEtrna3N; SPGP0Ztrna16N; SPGP0Ytrna10N; SPGP0Strna15N; SPGP0Ptrna7N; SPGP0FKtrna6N; SPGP0Otrna8N; SPGP0Ktrna2N; SPGP0AOtrna20N; SPGP0Ltrna5N; SPGP0ACtrna17N	DI49_5581	SPGP0Ktrna1N; SPGP0Htrna19N; SPGP0Etrna21N; SPGP0Dtrna14N; SPGP0Dtrna13N; SPGP0Ctrna4N; SPGP0ALtrna18N; SPGP0AHtrna11N; SPGP0AGtrna22N; SPGP0AFtrna12N; SPGP0AEtrna3N; SPGP0Ztrna16N; SPGP0Ytrna10N; SPGP0Strna15N; SPGP0Ptrna7N; SPGP0FKtrna6N; SPGP0Otrna8N; SPGP0Ktrna2N; SPGP0AOtrna20N; SPGP0Ltrna5N; SPGP0ACtrna17N	
SPGP0Ktrna1P; DI49_4736; SPGP0AXtrna19P; SPGP0AHtrna12P; SPGP0AGtrna24P	DI49_4736	SPGP0Ktrna1P; SPGP0AXtrna19P; SPGP0AHtrna12P; SPGP0AGtrna24P	
YNR001C; XP_018219873.1	XP_018219873.1		YNR001C
YNL002C; XP_018219871.1	XP_018219871.1		YNL002C
YNL003C; XP_018219870.1	XP_018219870.1		YNL003C
YNL004W; XP_018219869.1	XP_018219869.1		YNL004W
YNL007C; XP_018219866.1	XP_018219866.1		YNL007C
YNL009W; XP_018219864.1	XP_018219864.1		YNL009W
YNL010W; XP_018219863.1	XP_018219863.1		YNL010W
YNL011C; XP_018219862.1	XP_018219862.1		YNL011C
YNL012W; SPGP0AX00130		SPGP0AX00130	YNL012W
YNL014W; XP_018219861.1; YLR249W; XP_018220658.1	XP_018219861.1; XP_018220658.1		YNL014W; YLR249W
YNL016W; XP_018219859.1	XP_018219859.1		YNL016W
YNL034W; SPGP0K01090		SPGP0K01090	YNL034W
YNL032W; XP_018219844.1	XP_018219844.1		YNL032W
YNL030W; XP_018223567.1; XP_018219846.1	XP_018223567.1; XP_018219846.1		YNL030W
YNL027W; XP_018219848.1	XP_018219848.1		YNL027W
YNL024C; XP_018219852.1	XP_018219852.1		YNL024C
YNL023C; XP_018219853.1	XP_018219853.1		YNL023C
YNL022C; XP_018219854.1	XP_018219854.1		YNL022C
YNL020C; XP_018219856.1	XP_018219856.1		YNL020C
SPGP0Ktrna2P; SPGP0Xtrna9P; SPGP0Ktrna3P; SPGP0Gtrna21P; SPGP0AJtrna14P; SPGP0AEtrna5P; SPGP0Dtrna15P; YOL013W-A; DI49_4051; SPGP0AUtrna4P; DI49_2389; DI49_4914; SPGP0AItrna11P; SPGP0AFtrna13P; DI49_4699; DI49_5158; DI49_2548; SPGP0Strna17P; SPGP0Ctrna6P	DI49_4051; DI49_2389; DI49_4914; DI49_4699; DI49_5158; DI49_2548	SPGP0Ktrna2P; SPGP0Xtrna9P; SPGP0Ktrna3P; SPGP0Gtrna21P; SPGP0AJtrna14P; SPGP0AEtrna5P; SPGP0Dtrna15P; SPGP0AUtrna4P; SPGP0AItrna11P; SPGP0AFtrna13P; SPGP0Strna17P; SPGP0Ctrna6P	YOL013W-A
YNL041C; XP_018219831.1	XP_018219831.1		YNL041C
YNL044W; XP_018219829.1	XP_018219829.1		YNL044W
YNL048W; XP_018219825.1	XP_018219825.1		YNL048W
YNL049C; XP_018219824.1	XP_018219824.1		YNL049C
YNL054W; XP_018219819.1	XP_018219819.1		YNL054W
YNL055C; XP_018219818.1	XP_018219818.1		YNL055C
YNL059C; XP_018219815.1	XP_018219815.1		YNL059C
YNL061W; XP_018219814.1	XP_018219814.1		YNL061W
YNL062C; XP_018219813.1	XP_018219813.1		YNL062C
SPGP0K01360; XP_018219811.1	XP_018219811.1	SPGP0K01360	
YNL067W; YGL147C; XP_018222094.1; XP_018219808.1	XP_018222094.1; XP_018219808.1		YNL067W; YGL147C
YNL069C; XP_018219806.1; YIL133C; XP_018221489.1	XP_018219806.1; XP_018221489.1		YNL069C; YIL133C
YNL070W; XP_018219805.1	XP_018219805.1		YNL070W
YNL071W; XP_018219804.1	XP_018219804.1		YNL071W
YNL075W; XP_018219800.1	XP_018219800.1		YNL075W
YNL077W; XP_018219798.1	XP_018219798.1		YNL077W
YNL079C; XP_018219796.1	XP_018219796.1		YNL079C
YNL080C; XP_018219795.1	XP_018219795.1		YNL080C
YNL081C; XP_018219794.1	XP_018219794.1		YNL081C
YNL082W; XP_018219793.1	XP_018219793.1		YNL082W
YNL083W; XP_018219792.1	XP_018219792.1		YNL083W
YNL084C; XP_018219791.1	XP_018219791.1		YNL084C
YNL085W; XP_018219790.1	XP_018219790.1		YNL085W
YNL088W; XP_018219787.1	XP_018219787.1		YNL088W
YNL091W; XP_018219785.1	XP_018219785.1		YNL091W
YNL094W; XP_018219782.1	XP_018219782.1		YNL094W
YNL095C; XP_018219781.1	XP_018219781.1		YNL095C
YNL096C; XP_018219780.1; XP_018219318.1; YOR096W	XP_018219780.1; XP_018219318.1		YNL096C; YOR096W
SPGP0K01670; YNL098C; XP_018219778.1	XP_018219778.1	SPGP0K01670	YNL098C
YNL101W; XP_018219775.1	XP_018219775.1		YNL101W
YNL102W; XP_018219774.1	XP_018219774.1		YNL102W
YNL104C; YOR108W; XP_018219328.1; XP_018219772.1	XP_018219328.1; XP_018219772.1		YNL104C; YOR108W
YNL106C; XP_018219771.1	XP_018219771.1		YNL106C
YNL110C; XP_018219768.1	XP_018219768.1		YNL110C
YNL111C; XP_018219767.1	XP_018219767.1		YNL111C
YNL112W; SPGP0S00850; XP_018219412.1; YOR204W	XP_018219412.1	SPGP0S00850	YNL112W; YOR204W
YNL116W; XP_018219764.1	XP_018219764.1		YNL116W
YNL117W; XP_018219763.1	XP_018219763.1		YNL117W
YNL118C; XP_018219762.1	XP_018219762.1		YNL118C
YNL122C; XP_018219759.1	XP_018219759.1		YNL122C
YNL123W; XP_018219758.1	XP_018219758.1		YNL123W
YNL124W; XP_018219757.1	XP_018219757.1		YNL124W
YNL126W; XP_018219755.1	XP_018219755.1		YNL126W
YNL127W; XP_018219754.1	XP_018219754.1		YNL127W
YNL128W; XP_018219753.1	XP_018219753.1		YNL128W
YNL131W; XP_018219750.1	XP_018219750.1		YNL131W
YNL132W; XP_018219749.1	XP_018219749.1		YNL132W
YNL135C; XP_018219746.1	XP_018219746.1		YNL135C
YNL136W; XP_018219745.1	XP_018219745.1		YNL136W
YNL137C; XP_018219744.1	XP_018219744.1		YNL137C
YNL138W; XP_018219743.1	XP_018219743.1		YNL138W
YNL139C; XP_018219741.1	XP_018219741.1		YNL139C
YNL142W; XP_018219739.1	XP_018219739.1		YNL142W
YNL154C; XP_018219729.1	XP_018219729.1		YNL154C
YNL157W; XP_018219726.1	XP_018219726.1		YNL157W
YNL160W; XP_018219723.1	XP_018219723.1		YNL160W
YNL162W; YHR141C; SPGP0O02990; XP_018219721.1	XP_018219721.1	SPGP0O02990	YNL162W; YHR141C
YNL163C; XP_018219719.1	XP_018219719.1		YNL163C
YNL164C; XP_018219718.1	XP_018219718.1		YNL164C
YNL169C; XP_018219713.1	XP_018219713.1		YNL169C
YNL172W; XP_018219712.1	XP_018219712.1		YNL172W
YNL175C; XP_018219710.1	XP_018219710.1		YNL175C
YNL178W; XP_018219707.1	XP_018219707.1		YNL178W
YNL180C; XP_018219706.1	XP_018219706.1		YNL180C
YNL182C; XP_018219704.1	XP_018219704.1		YNL182C
YNL183C; XP_018219703.1	XP_018219703.1		YNL183C
YNL185C; XP_018219702.1	XP_018219702.1		YNL185C
YNL186W; XP_018219701.1	XP_018219701.1		YNL186W
YNL188W; XP_018219699.1	XP_018219699.1		YNL188W
YNL189W; XP_018219698.1	XP_018219698.1		YNL189W
YNL190W; XP_018219697.1	XP_018219697.1		YNL190W
YNL191W; XP_018219696.1	XP_018219696.1		YNL191W
YNL192W; XP_018219695.1	XP_018219695.1		YNL192W
YNL201C; XP_018219687.1	XP_018219687.1		YNL201C
YNL202W; XP_018219686.1	XP_018219686.1		YNL202W
YNL206C; XP_018219684.1	XP_018219684.1		YNL206C
YNL207W; XP_018219683.1	XP_018219683.1		YNL207W
YNL209W; YDL229W; XP_018219681.1; YLL024C	XP_018219681.1		YNL209W; YDL229W; YLL024C
YNL212W; XP_018219678.1	XP_018219678.1		YNL212W
YNL216W; XP_018219674.1	XP_018219674.1		YNL216W
YNL218W; XP_018219672.1	XP_018219672.1		YNL218W
YNL220W; XP_018219670.1	XP_018219670.1		YNL220W
YNL222W; XP_018219668.1	XP_018219668.1		YNL222W
YNL223W; XP_018219667.1	XP_018219667.1		YNL223W
YNL224C; XP_018219666.1	XP_018219666.1		YNL224C
YNL225C; XP_018219665.1	XP_018219665.1		YNL225C
YNL227C; XP_018219664.1	XP_018219664.1		YNL227C
YNL230C; XP_018219662.1	XP_018219662.1		YNL230C
YNL232W; XP_018219660.1	XP_018219660.1		YNL232W
YNL233W; XP_018219659.1	XP_018219659.1		YNL233W
YNL241C; XP_018219652.1	XP_018219652.1		YNL241C
YNL242W; XP_018219651.1	XP_018219651.1		YNL242W
YNL244C; XP_018219649.1	XP_018219649.1		YNL244C
YNL247W; XP_018219646.1	XP_018219646.1		YNL247W
YNL248C; XP_018219645.1	XP_018219645.1		YNL248C
YNL249C; XP_018219644.1	XP_018219644.1		YNL249C
YNL250W; XP_018219643.1	XP_018219643.1		YNL250W
YNL251C; XP_018219642.1	XP_018219642.1		YNL251C
YNL254C; XP_018219639.1	XP_018219639.1		YNL254C
YNL255C; XP_018219638.1	XP_018219638.1		YNL255C
YNL256W; XP_018219637.1	XP_018219637.1		YNL256W
YNL262W; XP_018219631.1	XP_018219631.1		YNL262W
YNL263C; XP_018219630.1	XP_018219630.1		YNL263C
YNL265C; XP_018219628.1	XP_018219628.1		YNL265C
YNL267W; XP_018219627.1	XP_018219627.1		YNL267W
YNL268W; XP_018219626.1; YNL270C; XP_018219625.1	XP_018219626.1; XP_018219625.1		YNL268W; YNL270C
YNL271C; SPGP0S02280; XP_018219624.1	XP_018219624.1	SPGP0S02280	YNL271C
YNL272C; XP_018219623.1	XP_018219623.1		YNL272C
YNL274C; XP_018219621.1	XP_018219621.1		YNL274C
YNL280C; XP_018219616.1	XP_018219616.1		YNL280C
YNL283C; XP_018219613.1	XP_018219613.1		YNL283C
SPGP0Ktrna5G; SPGP0Etrna44G; SPGP0Dtrna33G; SPGP0ARtrna4G; SPGP0Ytrna24G; SPGP0Otrna15G		SPGP0Ktrna5G; SPGP0Etrna44G; SPGP0Dtrna33G; SPGP0ARtrna4G; SPGP0Ytrna24G; SPGP0Otrna15G	
YNL287W; XP_018219609.1	XP_018219609.1		YNL287W
YNL288W; XP_018219608.1	XP_018219608.1		YNL288W
YNL289W; XP_018219607.1	XP_018219607.1		YNL289W
YNL292W; XP_018219604.1	XP_018219604.1		YNL292W
YNL293W; XP_018219603.1	XP_018219603.1		YNL293W
YNL295W; XP_018219601.1	XP_018219601.1		YNL295W
YNL298W; XP_018219599.1	XP_018219599.1		YNL298W
SPGP0K03490; YOL120C; SPGP0AR00380; SPGP0O00440		SPGP0K03490; SPGP0AR00380; SPGP0O00440	YOL120C
YNL302C; XP_018219596.1; SPGP0D04230; XP_018221676.1	XP_018219596.1; XP_018221676.1	SPGP0D04230	YNL302C
YNL304W; XP_018219595.1	XP_018219595.1		YNL304W
YNL307C; XP_018219592.1	XP_018219592.1		YNL307C
YNL311C; XP_018219588.1	XP_018219588.1		YNL311C
YNL313C; XP_018219586.1	XP_018219586.1		YNL313C
YNL317W; XP_018219582.1	XP_018219582.1		YNL317W
YNL320W; XP_018219580.1	XP_018219580.1		YNL320W
YNL321W; XP_018219579.1	XP_018219579.1		YNL321W
YNL322C; XP_018219578.1	XP_018219578.1		YNL322C
YNL323W; XP_018219577.1	XP_018219577.1		YNL323W
YNL325C; XP_018219576.1	XP_018219576.1		YNL325C
YNL328C; XP_018219573.1	XP_018219573.1		YNL328C
YNL330C; XP_018219571.1	XP_018219571.1		YNL330C
YNL331C; YDL243C; XP_018219570.1	XP_018219570.1		YNL331C; YDL243C
YNL332W; YJR156C; XP_018218753.1; SPGP0B00130	XP_018218753.1	SPGP0B00130	YNL332W; YJR156C
YNL336W; YDL248W; SPGP0BG00140; SPGP0G04210; SPGP0NC00100; YKL219W		SPGP0BG00140; SPGP0G04210; SPGP0NC00100	YNL336W; YDL248W; YKL219W
YIL002C; XP_018221605.1	XP_018221605.1		YIL002C
SPGP0DT00100; YDL024C		SPGP0DT00100	YDL024C
SPGP0DU00100; YGR181W		SPGP0DU00100	YGR181W
SPGP0DU00110; YGR183C		SPGP0DU00110	YGR183C
YPR013C; SPGP0OR00100		SPGP0OR00100	YPR013C
XP_018219161.1; YPR160W	XP_018219161.1		YPR160W
XP_018219160.1; YPR159W; XP_018222350.1; YGR143W	XP_018219160.1; XP_018222350.1		YPR159W; YGR143W
XP_018219158.1; YPR157W	XP_018219158.1		YPR157W
XP_018219157.1; XP_018222345.1; YPR156C; YGR138C	XP_018219157.1; XP_018222345.1		YPR156C; YGR138C
XP_018219155.1; YPR154W	XP_018219155.1		YPR154W
XP_018219152.1; YPR149W	XP_018219152.1		YPR149W
XP_018219150.1; YPR147C	XP_018219150.1		YPR147C
XP_018219148.1; YPR145W; XP_018222332.1; YGR124W	XP_018219148.1; XP_018222332.1		YPR145W; YGR124W
XP_018219145.1; YPR141C	XP_018219145.1		YPR141C
XP_018219142.1; YPR138C	XP_018219142.1		YPR138C
XP_018219140.1; YPR135W	XP_018219140.1		YPR135W
XP_018219137.1; YPR133C	XP_018219137.1		YPR133C
XP_018219136.1; YPR132W; XP_018222326.1; YGR118W	XP_018219136.1; XP_018222326.1		YPR132W; YGR118W
XP_018219134.1; YPR129W	XP_018219134.1		YPR129W
XP_018219132.1; YPR127W	XP_018219132.1		YPR127W
XP_018219128.1; YPR120C	XP_018219128.1		YPR120C
SPGP0Ltrna7K; DI49_5564; SPGP0Ctrna6K; SPGP0Ptrna14K; SPGP0Htrna38K; SPGP0Etrna40K; SPGP0Dtrna26K; SPGP0ADtrna37K; SPGP0ACtrna29K; SPGP0Ttrna32K; SPGP0Atrna20K; SPGP0Rtrna16K; SPGP0GDtrna22K; SPGP0GCtrna21K	DI49_5564	SPGP0Ltrna7K; SPGP0Ctrna6K; SPGP0Ptrna14K; SPGP0Htrna38K; SPGP0Etrna40K; SPGP0Dtrna26K; SPGP0ADtrna37K; SPGP0ACtrna29K; SPGP0Ttrna32K; SPGP0Atrna20K; SPGP0Rtrna16K; SPGP0GDtrna22K; SPGP0GCtrna21K	
XP_018219126.1; YPR118W	XP_018219126.1		YPR118W
XP_018219125.1; YPR117W	XP_018219125.1		YPR117W
XP_018219123.1; YPR115W	XP_018219123.1		YPR115W
XP_018219120.1; YPR112C	XP_018219120.1		YPR112C
XP_018219118.1; YPR110C	XP_018219118.1		YPR110C
SPGP0Ltrna11T; SPGP0Etrna34T; SPGP0Etrna33T; SPGP0AQtrna35T; SPGP0APtrna36T; YPR108W-A; SPGP0Ytrna20T; SPGP0Rtrna17T		SPGP0Ltrna11T; SPGP0Etrna34T; SPGP0Etrna33T; SPGP0AQtrna35T; SPGP0APtrna36T; SPGP0Ytrna20T; SPGP0Rtrna17T	YPR108W-A
XP_018219115.1; YPR107C	XP_018219115.1		YPR107C
XP_018219113.1; YPR105C	XP_018219113.1		YPR105C
XP_018219112.1; YPR104C	XP_018219112.1		YPR104C
XP_018219111.1; YPR103W	XP_018219111.1		YPR103W
XP_018219110.1; XP_018222295.1; YPR102C	XP_018219110.1; XP_018222295.1		YPR102C
XP_018219109.1; YPR100W	XP_018219109.1		YPR100W
XP_018219107.1; YPR097W	XP_018219107.1		YPR097W
XP_018219104.1; YPR093C	XP_018219104.1		YPR093C
XP_018219102.1; YPR089W	XP_018219102.1		YPR089W
XP_018219101.1; YPR088C	XP_018219101.1		YPR088C
XP_018219100.1; YPR086W	XP_018219100.1		YPR086W
XP_018219098.1; YPR084W	XP_018219098.1		YPR084W
XP_018219097.1; YPR083W	XP_018219097.1		YPR083W
XP_018219095.1; YPR081C	XP_018219095.1		YPR081C
XP_018219088.1; YPR072W	XP_018219088.1		YPR072W
SPGP0Ltrna11S; DI49_5523; SPGP0ACtrna33S; SPGP0ABtrna35S; SPGP0Wtrna5S; SPGP0Vtrna16S; SPGP0Qtrna13S	DI49_5523	SPGP0Ltrna11S; SPGP0ACtrna33S; SPGP0ABtrna35S; SPGP0Wtrna5S; SPGP0Vtrna16S; SPGP0Qtrna13S	
XP_018219086.1; YPR069C	XP_018219086.1		YPR069C
XP_018219083.1; YPR066W	XP_018219083.1		YPR066W
XP_018219080.1; YPR062W	XP_018219080.1		YPR062W
XP_018219077.1; YPR058W	XP_018219077.1		YPR058W
XP_018219075.1; YPR056W	XP_018219075.1		YPR056W
XP_018219074.1; YPR055W	XP_018219074.1		YPR055W
XP_018219073.1; YPR054W	XP_018219073.1		YPR054W
XP_018219072.1; YPR052C	XP_018219072.1		YPR052C
XP_018219068.1; YPR047W	XP_018219068.1		YPR047W
XP_018219067.1; YPR046W	XP_018219067.1		YPR046W
XP_018219065.1; YPR043W; XP_018221393.1; YJR094W-A	XP_018219065.1; XP_018221393.1		YPR043W; YJR094W-A
XP_018219064.1; YPR042C	XP_018219064.1		YPR042C
XP_018219063.1; YPR041W	XP_018219063.1		YPR041W
XP_018219059.1; YPR036W	XP_018219059.1		YPR036W
XP_018219058.1; YPR035W	XP_018219058.1		YPR035W
XP_018219055.1; YPR032W	XP_018219055.1		YPR032W
XP_018219054.1; YPR031W	XP_018219054.1		YPR031W
XP_018219052.1; YPR029C	XP_018219052.1		YPR029C
XP_018219049.1; YPR026W	XP_018219049.1		YPR026W
XP_018219047.1; YPR024W	XP_018219047.1		YPR024W
XP_018219045.1; YPR022C	XP_018219045.1		YPR022C
XP_018219042.1; YPR019W	XP_018219042.1		YPR019W
XP_018219039.1; YPR016C	XP_018219039.1		YPR016C
XP_018219038.1; YPR015C	XP_018219038.1		YPR015C
SPGP0Ltrna8K; DI49_5468; SPGP0Gtrna36K; SPGP0Ftrna30K; SPGP0Etrna41K; SPGP0Etrna39K; SPGP0BEtrna28K; SPGP0RZtrna3K; SPGP0AHtrna23K; SPGP0AGtrna42K; SPGP0AFtrna25K; SPGP0AEtrna5K; SPGP0Btrna2K; SPGP0Btrna1K; SPGP0Ztrna27K; SPGP0Wtrna4K; SPGP0Vtrna13K; SPGP0Vtrna12K; SPGP0Atrna19K; SPGP0Atrna18K; SPGP0Rtrna17K; SPGP0FXtrna35K; SPGP0Qtrna11K; SPGP0Qtrna10K; SPGP0Ptrna15K; SPGP0Ntrna9K; SPGP0Mtrna34K; SPGP0ABtrna31K	DI49_5468	SPGP0Ltrna8K; SPGP0Gtrna36K; SPGP0Ftrna30K; SPGP0Etrna41K; SPGP0Etrna39K; SPGP0BEtrna28K; SPGP0RZtrna3K; SPGP0AHtrna23K; SPGP0AGtrna42K; SPGP0AFtrna25K; SPGP0AEtrna5K; SPGP0Btrna2K; SPGP0Btrna1K; SPGP0Ztrna27K; SPGP0Wtrna4K; SPGP0Vtrna13K; SPGP0Vtrna12K; SPGP0Atrna19K; SPGP0Atrna18K; SPGP0Rtrna17K; SPGP0FXtrna35K; SPGP0Qtrna11K; SPGP0Qtrna10K; SPGP0Ptrna15K; SPGP0Ntrna9K; SPGP0Mtrna34K; SPGP0ABtrna31K	
XP_018219034.1; YPR010C	XP_018219034.1		YPR010C
XP_018219033.1; YPR009W	XP_018219033.1		YPR009W
XP_018219032.1; YPR008W	XP_018219032.1		YPR008W
XP_018219030.1; YPR006C	XP_018219030.1		YPR006C
XP_018219027.1; YPR003C	XP_018219027.1		YPR003C
SPGP0L01500; YPR002W		SPGP0L01500	YPR002W
XP_018219025.1; YPR001W	XP_018219025.1		YPR001W
XP_018219023.1; YPL002C	XP_018219023.1		YPL002C
XP_018219021.1; YPL004C	XP_018219021.1		YPL004C
XP_018219019.1; YPL006W	XP_018219019.1		YPL006W
XP_018219016.1; YPL009C	XP_018219016.1		YPL009C
XP_018219013.1; YPL012W	XP_018219013.1		YPL012W
XP_018219010.1; YPL015C	XP_018219010.1		YPL015C
XP_018219009.1; YPL016W	XP_018219009.1		YPL016W
XP_018219006.1; YPL019C; XP_018222532.1; YFL004W	XP_018219006.1; XP_018222532.1		YPL019C; YFL004W
XP_018219003.1; YPL022W	XP_018219003.1		YPL022W
XP_018219002.1; YPL023C	XP_018219002.1		YPL023C
XP_018219001.1; YPL024W	XP_018219001.1		YPL024W
XP_018218998.1; YPL028W	XP_018218998.1		YPL028W
XP_018218997.1; YPL029W	XP_018218997.1		YPL029W
XP_018218991.1; XP_018222216.1; YGL008C; YPL036W	XP_018218991.1; XP_018222216.1		YGL008C; YPL036W
XP_018218990.1; YPL037C	XP_018218990.1		YPL037C
XP_018218989.1; YPL038W	XP_018218989.1		YPL038W
XP_018218988.1; YPL039W	XP_018218988.1		YPL039W
XP_018218985.1; YPL042C	XP_018218985.1		YPL042C
XP_018218984.1; YPL043W	XP_018218984.1		YPL043W
XP_018218983.1; YPL045W	XP_018218983.1		YPL045W
XP_018218982.1; YPL046C	XP_018218982.1		YPL046C
XP_018218980.1; YPL048W	XP_018218980.1		YPL048W
XP_018218977.1; YPL051W	XP_018218977.1		YPL051W
XP_018218976.1; YPL053C	XP_018218976.1		YPL053C
XP_018218962.1; YPL069C	XP_018218962.1		YPL069C
XP_018218961.1; YPL070W	XP_018218961.1		YPL070W
XP_018218958.1; YPL074W	XP_018218958.1		YPL074W
XP_018218957.1; YPL075W	XP_018218957.1		YPL075W
XP_018218951.1; YPL082C	XP_018218951.1		YPL082C
XP_018218947.1; YPL086C	XP_018218947.1		YPL086C
XP_018218942.1; YPL091W	XP_018218942.1		YPL091W
XP_018218940.1; YPL093W	XP_018218940.1		YPL093W
XP_018218939.1; YPL094C	XP_018218939.1		YPL094C
XP_018218928.1; YPL105C	XP_018218928.1		YPL105C
XP_018218927.1; YPL106C	XP_018218927.1		YPL106C
XP_018218924.1; YPL110C	XP_018218924.1		YPL110C
XP_018218923.1; YPL111W	XP_018218923.1		YPL111W
SPGP0Ltrna3M; DI49_5351; SPGP0Dtrna12M; SPGP0AHtrna10M; SPGP0AGtrna20M; SPGP0AAtrna11M; SPGP0Vtrna8M; SPGP0Qtrna7M; SPGP0Ntrna4M; SPGP0Mtrna16M	DI49_5351	SPGP0Ltrna3M; SPGP0Dtrna12M; SPGP0AHtrna10M; SPGP0AGtrna20M; SPGP0AAtrna11M; SPGP0Vtrna8M; SPGP0Qtrna7M; SPGP0Ntrna4M; SPGP0Mtrna16M	
XP_018218922.1; YPL112C	XP_018218922.1		YPL112C
XP_018218921.1; YPL113C	XP_018218921.1		YPL113C
XP_018218920.1; YPL115C	XP_018218920.1		YPL115C
XP_018218919.1; YPL116W	XP_018218919.1		YPL116W
XP_018218917.1; YPL118W	XP_018218917.1		YPL118W
XP_018218913.1; YPL122C	XP_018218913.1		YPL122C
XP_018218912.1; YPL123C	XP_018218912.1		YPL123C
XP_018218910.1; YPL125W	XP_018218910.1		YPL125W
XP_018218909.1; YPL126W	XP_018218909.1		YPL126W
XP_018218904.1; YPL131W	XP_018218904.1		YPL131W
XP_018218903.1; YPL132W	XP_018218903.1		YPL132W
XP_018218902.1; YPL133C	XP_018218902.1		YPL133C
XP_018218901.1; YPL134C	XP_018218901.1		YPL134C
XP_018218898.1; YPL138C	XP_018218898.1		YPL138C
XP_018218897.1; YPL139C	XP_018218897.1		YPL139C
XP_018218895.1; YPL141C	XP_018218895.1		YPL141C
SPGP0L02870; XP_018219439.1; YPL143W; YOR234C	XP_018219439.1	SPGP0L02870	YPL143W; YOR234C
XP_018218892.1; YPL145C	XP_018218892.1		YPL145C
XP_018218891.1; YPL146C	XP_018218891.1		YPL146C
XP_018218887.1; YPL150W	XP_018218887.1		YPL150W
XP_018218884.1; YPL153C	XP_018218884.1		YPL153C
XP_018218883.1; YPL154C	XP_018218883.1		YPL154C
XP_018218877.1; YPL160W	XP_018218877.1		YPL160W
XP_018218875.1; YPL162C	XP_018218875.1		YPL162C
XP_018218873.1; YPL164C	XP_018218873.1		YPL164C
XP_018218870.1; YPL167C	XP_018218870.1		YPL167C
XP_018218868.1; YPL169C	XP_018218868.1		YPL169C
XP_018218865.1; YPL172C	XP_018218865.1		YPL172C
XP_018218863.1; YPL175W	XP_018218863.1		YPL175W
XP_018218860.1; YPL178W	XP_018218860.1		YPL178W
